B,G,R,Target
70,44,211,Merah
72,46,210,Merah
74,49,210,Merah
73,49,207,Merah
70,45,206,Merah
67,42,204,Merah
63,35,201,Merah
64,32,200,Merah
72,36,204,Merah
75,36,205,Merah
77,38,220,Merah
85,45,224,Merah
81,43,219,Merah
77,40,213,Merah
76,40,213,Merah
80,44,217,Merah
76,40,214,Merah
70,35,209,Merah
68,35,206,Merah
68,35,206,Merah
86,45,237,Merah
86,48,238,Merah
85,48,238,Merah
85,48,237,Merah
84,48,236,Merah
97,63,244,Kuning
94,60,241,Kuning
94,61,243,Kuning
97,63,247,Kuning
98,68,251,Kuning
97,70,251,Kuning
94,69,249,Kuning
99,73,238,Kuning
97,73,235,Kuning
99,76,235,Kuning
90,55,225,Kuning
88,55,224,Kuning
89,57,225,Kuning
91,62,229,Kuning
90,62,229,Kuning
93,64,230,Kuning
95,64,231,Kuning
91,58,226,Kuning
93,60,228,Kuning
97,64,231,Kuning
73,39,210,Kuning
76,39,211,Kuning
75,40,211,Kuning
76,41,211,Kuning
77,41,211,Kuning
56,31,193,Hijau
57,31,192,Hijau
58,32,193,Hijau
60,34,194,Hijau
60,34,195,Hijau
59,34,195,Hijau
58,33,195,Hijau
60,32,195,Hijau
59,28,191,Hijau
61,28,190,Hijau
55,28,189,Hijau
59,35,194,Hijau
62,37,197,Hijau
58,35,195,Hijau
56,31,192,Hijau
56,29,193,Hijau
59,28,194,Hijau
67,33,201,Hijau
64,30,198,Hijau
63,28,196,Hijau
63,37,195,Hijau
57,34,192,Hijau
53,33,189,Hijau
52,35,190,Hijau
55,38,193,Hijau


